id,year,category,nominee,staff,company,producer,win,cast
2887,2015,Outstanding Music Composition For A Series (Original Dramatic Score),House of Cards,"Jeff Beal, Music by",Netflix,"Donen/Fincher/Roth and Trigger Street Productions, Inc. in association with Media Rights Capital for Netflix",TRUE,"Kevin Spacey,Robin Wright,Michael Kelly,Mahershala Ali,Nathan Darrow,Molly Parker,Jayne Atkinson,Jimmi Simpson,Elizabeth Marvel,Derek Cecil,Paul Sparks,Kim Dickens,Lars Mikkelsen"
3019,2015,Outstanding Guest Actor In A Drama Series,House Of Cards,"Reg E. Cathey, as Freddy Hayes",Netflix,"Donen/Fincher/Roth and Trigger Street Productions, Inc. in association with Media Rights Capital for Netflix",TRUE,"Kevin Spacey,Robin Wright,Michael Kelly,Mahershala Ali,Nathan Darrow,Molly Parker,Jayne Atkinson,Jimmi Simpson,Elizabeth Marvel,Derek Cecil,Paul Sparks,Kim Dickens,Lars Mikkelsen"
3107,2015,Outstanding Cinematography For Nonfiction Programming,Virunga,"Franklin Dow, Cinematographer",Netflix,A Netflix Documentary in association with Appian Way,TRUE,
3191,2015,Television Academy Honors,Virunga,,Netflix,A Netflix Documentary in association with Appian Way,TRUE,
3276,2014,Outstanding Guest Actress In A Comedy Series,Orange Is The New Black,"Uzo Aduba, as Suzanne 'Crazy Eyes' Warren",Netflix,,TRUE,"Taylor Schilling,Uzo Aduba,Danielle Brooks,Michael Harney,Natasha Lyonne,Taryn Manning,Kate Mulgrew,Jason Biggs"
3397,2014,Outstanding Casting For A Comedy Series,Orange Is The New Black,"Jennifer Euston, Casting Director",Netflix,,TRUE,"Taylor Schilling,Uzo Aduba,Danielle Brooks,Michael Harney,Natasha Lyonne,Taryn Manning,Kate Mulgrew,Jason Biggs"
3435,2014,Outstanding Cinematography For Nonfiction Programming,The Square,"Jehane Noujaim, Director of Photography; Muhammed Hamdy, Director of Photography; Ahmed Hassan, Director of Photography; Cressida Trew, Director of Photography",Netflix,,TRUE,"Khalid Abdalla,Ahmed Hassan,Dina Abdullah,Magdy Ashour,Sherif Boray,Aida El-Kashef"
3444,2014,Outstanding Directing For Nonfiction Programming,The Square,"Jehane Noujaim, Directed by",Netflix,,TRUE,"Khalid Abdalla,Ahmed Hassan,Dina Abdullah,Magdy Ashour,Sherif Boray,Aida El-Kashef"
3543,2014,Outstanding Picture Editing For Nonfiction Programming,The Square,"Pedro Kos, Edited by; Christopher de la Torre, Edited by; Mohamed El Manasterly, Edited by",Netflix,,TRUE,"Khalid Abdalla,Ahmed Hassan,Dina Abdullah,Magdy Ashour,Sherif Boray,Aida El-Kashef"
3573,2014,Outstanding Single-camera Picture Editing For A Comedy Series,Orange Is The New Black,"William Turro, Editor",Netflix,,TRUE,"Taylor Schilling,Laura Prepon,Michael Harney,Michelle Hurst,Kate Mulgrew,Jason Biggs,Uzo Aduba,Danielle Brooks,Natasha Lyonne,Taryn Manning,Selenis Leyva,Adrienne C. Moore,Dascha Polanco,Nick Sandow,Yael Stone,Samira "
3612,2014,Outstanding Sound Mixing For A Comedy Or Drama Series (One Hour),House of Cards,"Lorenzo Millan, Production Mixer; Nathan Nance, Re-Recording Mixer; Scott R. Lewis, Re-Recording Mixer",Netflix,"Donen/Fincher/Roth and Trigger Street Productions, Inc. in association with Media Rights Capital for Netflix",TRUE,"Kevin Spacey,Robin Wright,Michael Kelly,Sakina Jaffrey,Michel Gill,Sebastian Arcelus,Mahershala Ali,Nathan Darrow,Rachel Brosnahan,Molly Parker,Gerald McRaney,Jayne Atkinson,Jimmi Simpson"
3784,2013,Outstanding Directing For A Drama Series,House of Cards,"David Fincher, Directed by",Netflix,"Donen/Fincher/Roth and Trigger Street Productions, Inc. in association with Media Rights Capital for Netflix",TRUE,"Kevin Spacey,Robin Wright,Kate Mara,Corey Stoll,Michael Kelly,Kristen Connolly,Sakina Jaffrey,Sandrine Holt,Constance Zimmer,Michel Gill,Sebastian Arcelus,Mahershala Ali,Boris McGiver,Nathan Darrow,Rachel Brosnahan"
3966,2013,Outstanding Casting For A Drama Series,House of Cards,"Laray Mayfield, ; Julie Schubert, ",Netflix,"Donen/Fincher/Roth and Trigger Street Productions, Inc. in association with Media Rights Capital for Netflix",TRUE,"Kevin Spacey,Robin Wright,Kate Mara,Corey Stoll,Michael Kelly,Kristen Connolly,Sakina Jaffrey,Sandrine Holt,Constance Zimmer,Michel Gill,Sebastian Arcelus,Mahershala Ali,Boris McGiver,Nathan Darrow,Rachel Brosnahan"
3994,2013,Outstanding Cinematography For A Single-camera Series,House of Cards,"Eigil Bryld, ",Netflix,"Donen/Fincher/Roth and Trigger Street Productions, Inc. in association with Media Rights Capital for Netflix",TRUE,"Kevin Spacey,Robin Wright,Kate Mara,Corey Stoll,Michael Kelly,Kristen Connolly,Sakina Jaffrey,Sandrine Holt,Constance Zimmer,Michel Gill,Sebastian Arcelus,Mahershala Ali,Boris McGiver,Nathan Darrow,Rachel Brosnahan"
